ID;notation;subtitle;description;citation;fundamentals.*;attachments.*;templates.*
D013;D(E) ⎮miles, kWh, rps, revs⎮ ;Depreciation, performance-based;The performance-based depreciation best shows the actual wear of the asset. The calculation is based on the share (conversion) of the total runtime (miles, kWh) or rotational frequency (rps, revs) of the accounting period to the total performance (limitation) of the system or full capacity of the machines.;"Heading: MathDIY fundamentals, subtitle: [subtitle]. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV|TSV. 
Note: The collection of formulas and explanations expressed about [subtitle] do not reflect the current and correct doctrine or agree with the binding standards of sub-disciplines (e.g. business accounting, commercial arithmetics, mathematical notation) or legal norms (e.g. IFRS) and so on. 
More information can be obtained via MathDIY, Democracy and Internet are Yours on Github: https://github.com/scifiltr/MathDIY (latest update: 01-15-2020, 7:26 pm UTC)";*.depreciation;NA;NA
W001;W(N);Water as a free good indexed with Nature (N) in parenthesis, e.g. natural basin, frozen water;Water as a free good is the economic equivalent to the chemical compound H2O (water) from the elements Hydrogen and Oxygen. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).;"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV|TSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)";.water;NA;NA
W002;W(G);available Water from the depth indexed with Ground in parenthesis (G) as factor of production, e.g. stream-ground, drink-water;Water as a factor of production is the economic equivalent to the chemical compound H2O from the elements Hydrogen and Oxygen. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).;"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV|TSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)";.water;NA;NA
W003;W [S];available Surface Water measured with S (Save);Water as a protected resource in the National Account System (NAS) with DNA. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).;"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV|TSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)";.water;NA;NA
W004;W (HS);Water from Hot Springs;Water as a thermal sources or heat storage in the National Account System (NAS) with DNA. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).;"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV|TSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)";.water;NA;NA
W005;W (R1);Water Supply by  Rainfall;Water as an estimated or actual rainfall that should affect the value of water rights. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).;"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV|TSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)";.water;NA;NA
W006;W (R2);"Water Supply
by Deposit in Barrel (bl.) = 158,987 Litres";The amount of water actually made available for the corresponding value chain. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).;"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV|TSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)";.water;NA;NA
W007;W (R3);Water Rights on Stock Exchange per one Million Litres;The current price fee) of the legal right on the stock exchange (water trading) to consume one Million Litres of total Water Supply. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).;"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV|TSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)";.water;NA;NA
W008;W [C];Water measured in Consumption;The actual Consumption of Water. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).;"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV|TSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)";.water;NA;NA
W009;W [Cs];Water measured in  Circulation of Speed of the Water;The Circulation of Speed of the Water with the water is processed in the specific Infrastructure. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).;"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV|TSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)";.water;NA;NA
W010;W2 -W1 > 0;Water Treatment with indexed number of reporting period;Water Creation (increase) from one reporting period to another of the National Account System with DNA. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).;"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV|TSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)";.water;NA;NA
W011;W2 -W1 < 0;Water Wastage with indexed number of reporting period;Water Damage (decrease) from one reporting period to another of the National Account System with DNA. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).;"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV|TSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)";.water;NA;NA
W012;W [p];Price of Water;Price [p] as a qualified value for Water measured with a national currency or reserve currency. MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).;"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV|TSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)";.water;NA;NA
W013;W [q];Amount of Water;Amount as a quantified [q] value for Water usually measured with an unit (Litres, cbm).MathDIY should take into account the importance of water and its fair distribution and allocation among economic actors (government, households, enterprises etc).;"Heading: MathDIY, subheading: The Importance of Water in a National Account System with DNA. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. Folder: fundamentals. Language: EN. Format: PDF|CSV|TSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-06-2020, 2:14 am UTC)";.water;NA;NA
TX001;(D) ∷ I🄨 ∈ Y;The proportion between Democracy (D) and Internet indexed with Yours (Y) are Elements of Yield;"Catechism to the Internet without Frontiers (IwF): In the line of duty – Principles and Practices of Digital Ethics.
CONFESSION: Our real-time is still threatended and with it also the real life that was just safe. This proves the momentous 100 and more propositions which are under discussion. Under pressure to justify and in effort to explore the Internet without Frontiers (IwF) I invite you to a next challenge.  Therefore, I asked those who cannot be present and verbally debated with me to record this in writing or to post with a reference to my extraordinary work about Internet Ethics that already mentioned or recommended via Twitter @scifiltr. The work forms the first part for a Digital Constitution for the Internet following the equation: D + I = Y  – Democracy and Internet are Yours. So the first release was a religious creed. The second release should be consists of a macroeconomic value system (MathDIY) which is binding for all responsible persons and companies, stakeholders and shareholders, sovereign states and its politicians and citizens. I believe that only a paradigm shift and a Declaration of Independence could change democratic self-evidence and improve political decision-making that protect us from Agencies, Social Networks, Social Software, Social and Biological Engineering, Data Mining, Broadband, Big and Smart Data, Internet Cartels, A.I., FinTecs and Fake News and corrupted Science.
At the end, the purpose is to unite not to divide the invisible hand of the State with the visible hand of the Webciety by acting in a symbiosis but to eliminate lobbyism and despots and their inversible influences, e.g. abuse, fraud, corruption and reprisals; stopped and revised by official Internet Commitees that were elected or have been entrusted with tasks by the state or citizens authorised by a Digital Constitution for the Internet without Frontiers.";"Heading: Catechism to the Internet without Frontiers (IwF): In the line of duty – Principles and Practices of Digital Ethics, subtitle: The proportion between Democracy (D) and Internet indexed with Yours (Y) are Elements of Yield. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. File .thesis in Folder: fundamentals. Language: EN. Format: PDF|CSV|TSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-09-2020, 6:07 pm UTC)";.thesis;NA;NA
TX002;(D) := I🄨 ⎮§§⎮ > 100;The attack of common sense on the real-time of the captured world by placarding 100 and more propositions.;"Catechism to the Internet without Frontiers (IwF): In the line of duty – Principles and Practices of Digital Ethics.
CONFESSION: At the very beginning there were still 97 theses. Since time does not stand still and the enemies of the Internet without Frontiers do not rest, the theses inevitably had to be supplemented. The Creed of the Internet without Frontiers now relies on 103 fundamental theses. I added the passage « ‚upgrade‘, […] ‚skip‘ and ‚verify‘ and ‚auth‘ » to the first thesis. Based on the theses, I have formulated a Digital Basic Law for my homeland of the Federal Republic of Germany in my mother tongue German. In doing so, I individually examined each individual fundamental right for its applicability to the Internet without Frontiers. I am well aware that, of course, this digital constitution is not one-to-one transferable to other political systems and sovereign states.  When transforming a constitution to a version compatible with the Internet without Frontiers, I roughly considered the following sections: 
1. the essential and inalienable civil rights for user particles;
2. the sovereignty and self-administration of the Internet without Frontiers based on a dual democracy;
3. the legality and discretion of the parliamentary representation of the democratic self-government (exclusive legislation);
3. local participation and self-regulation in the public interest (competing legislation);
4. consultation and operation of joint Internet committees;
5. civil data protection and the institutional Internet representative of all economic sectors;
6. justification of government claim to participation in the data and justified mistrust;
7. border crossing and legislative powers of the Internet Federation;
8. the common practice of digital ethics by administrative and empowered non-governmental organizations;
9. binding joint tasks in setting up and managing critical infrastructures;
10. the Internet jurisdiction;
11. Internet financial budget, finance technologies (FinTec) and blockchains;
12. defense cases and protective measures to prevent cyber attacks;
13. the enforcement of data transfer regulations (data migration) and interaction regulations (traffic control);
14. revision of existing Internet laws including its implementation, non-compatibility and practice security of dual democracy.

In my opinion, you should follow these examples. It´s just a simple equation: Democracy + Internet = Yours. Any small, but negative, change in the separation of powers or in the legal view or restriction of the Internet would be accompanied by a substantial loss of yield (Y). In order to make this phenomenon visible, I have set up my own value system: MathDIY, whereby DIY is not Do-It-Yourself.  It lives and breathes with other schools of thought and doctrines (decision-making, marketing strategy, macroeconomic and microeconomic theory) and provokes, criticizes and rethinks them.
I should have submitted my constructive proposals to responsible authorities. Unfortunately, I believe that they are so busy with their own suggestions that I may not expect much support or any feedback. No one should doubt that I make no effort and that there exists a similar work out there. However, there are many people out there complaining loudly. But there are far fewer courageous scientific arguments. 
Regrettably, when it comes to the fight for Democracy and the Internet, we are all still too obedient and brave soldiers. I do not want to rest. I publish regular changes under the pseudonym @scifiltr and #MathDIY over the networks Ello and GitHub, where also other interested and co-responsible people - without official registration - can follow and read my contributions. Let the two forces - Democracy and Internet - be with you.";"Heading: Catechism to the Internet without Frontiers (IwF): In the line of duty – Principles and Practices of Digital Ethics, subtitle: The attack of common sense on the real-time of the captured world by placarding 100 and more propositions. Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. File .thesis in Folder: fundamentals. Language: EN. Format: PDF|CSV|TSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (latest update: 01-09-2020, 6:07 pm UTC)";.thesis;NA;NA
TX003;(D) ⊇ I🄨 ⎮§§⎮ ≤ 10;The zen-like Ten Commandments for the Internet without Frontiers (IwF) is superset or equal to equation: Democracy and Internet are Yours. ;"In the line of duty: Principles and Practices of Digital Ethics – The zen-like Ten Commandments for the Internet without Frontiers (IwF)
1. I am JTH , who watches the 'Watchmen' from 'Once Upon A Timeline' and beyond. You should make yourself a new portrait of profiles and maintain them. Be zealous and make yourself a parable. You should not have other idols besides me, except yourself.
2. You should not misuse clear names of your friends list. You should not lead them or yours in an ineffective way and not let those unpunished who misuse your common name.
3. No holy day of obligation (or tag off) is more sacred to you, vow this voluntary work with an additional hashtag. You can also sanctify and pay tribute to your current status and the status messages of others by stopping (to think) for at least a moment.
4. Thou shalt spare no subject from the Internet and yet leave a monument to ""blocked"" individuals on the Internet. But with stalkers you should not let it come to that. Leak a document and share it with the police. And always leave an IP signature for Internet investigators, but not a private GPG keychain for everyone. Who does not think of fraud, who also does not need to wear an IP-veil.
5. You can not kill the 'shit storm' that haunts you, but repay this injustice only with a 'sit-in' or with an entertainment phenomenon. The same is true for conservative propaganda (or conserved views). 'Once Upon a Timeline' the Homo Android Erectus becomes delicate delicious and ... gaga. Just do not be tempted!
6. You can always cancel or interrupt a connection. Do not repent of this crime. I give you my promise blessing. It's only Internet traffic and not adultery.
7. You should not shout with data, but steal data. Can you - or you do not want it - then lampoon it!
8. And you should not give false testimony with a fake.
9. You should not lust for your next domain or other pseudonyms.
10. You should not desire data, nor anything that is in other databases. If in doubt, put the blame on 101 Internet Survival Errors, that I am working furiously to comment. Sometimes the Internet will clarify and running off and on selfish. Thanks for your patience and consideration to other human's integrity.";"Heading: Catechism to the Internet without Frontiers (IwF): In the line of duty – Principles and Practices of Digital Ethics, subtitle: The zen-like Ten Commandments for the Internet without Frontiers (IwF). Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. File .lyrics in Folder: fundamentals. Language: EN. Format: PDF|CSV|TSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (pub date: 05-04-2014, 3:27 pm UTC / latest update: 12-10-2019, 3:44 pm UTC)";.lyrics;NA;NA
TX004;(Y) ⊃ I🄨 ⎮§§⎮ ≤ 0;The Data Cloud Prayer for the Internet without Frontiers (IwF) is superset of Yours (Y). ;"In the line of duty: Principles and Practices of Digital Ethics – The Data Cloud Prayer for the Internet without Frontiers (IwF):
/ Master User in the Data Sky
recommended be your clear name.
Your purview, scope and media penetration come.
/ Your goodwill (gestures) and my intercession happen, like in the data sky, so on Google Earth.
/ Give us our daily Feed (back) today.
And forgive us our trash,
as well as we forgive our followers.
/ And do not discredit us,
but delete us from the hate speech.
/ Because yours is the range
and the powerlessness and the like,
until in hyper-loop or eternity,
until the incognito (death) shares (divides) us.
/ Because where we go one day - in the Data Sky, we certainly do not need privacy protection. / Amen!";"Heading: Catechism to the Internet without Frontiers (IwF): In the line of duty – Principles and Practices of Digital Ethics, subtitle: The Data Cloud Prayer for the Internet without Frontiers (IwF). Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. File .lyrics in Folder: fundamentals. Language: EN. Format: PDF|CSV|TSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (pub date: 04-20-2017, 1:28:18 am UTC / latest update: 01-17-2020, 4:07 pm UTC)";.lyrics;NA;NA
TX005;(Y) ⊃ I🄨 ⎮§§⎮ ≤ 0;The Data Cloud Lead for the Internet without Frontiers (IwF) is superset of Yours (Y). ;"In the line of duty: Principles and Practices of Digital Ethics – The Data Cloud Lead for the Internet without Frontiers (IwF):
// Among the (data) clouds, / in cases where the liberty seems to be probably endless, / all the sorrows, they say, /  can I myself, borrowing from you, you think ! / universally, where it appears correct, / Data Protection invalid, Privacy petty.
// Above the (data) clouds, / in cases where the liberty seems to be probably endless, / all the sorrows, they say, / can I myself, burrowing from you, you think ! / universally, where it appears correct, / instead of give-and-take, fight for your user life.
// Underneath the (data) clouds, / in cases where the liberty, long ago, might divide us / all the wisdoms, they say, / that I shall create still for you, they intended, / universally, where it appears correct, to forbid my taboo speech.
// Beneath to the (data) clouds, in cases where the liberty is quite plain and can be irresolute, / all the wisdoms, they say, / that I created for you, long ago, they intended, / universally, where it appears correct, to prostitute my informal speech.";"Heading: Catechism to the Internet without Frontiers (IwF): In the line of duty – Principles and Practices of Digital Ethics, subtitle: The Data Cloud Lead for the Internet without Frontiers (IwF). Author: Jens T. Hinrichs. Repository: MathDIY on GitHub. File .lyrics in Folder: fundamentals. Language: EN. Format: PDF|CSV|TSV. Source: MathDIY, Democracy and Internet are Yours. Link: https://github.com/scifiltr/MathDIY (pub date: 07-17-2010, 0:52:24 am UTC / latest update: 01-17-2020, 5:26 pm UTC)";.lyrics;NA;NA
